"compresion","imagen","peso","resolucion","tasa_compresion"
"Diff/Luma","72",2858230,"1080p",1.17394270486999
"Diff/Luma","38",1752803,"720p",1.17446166690453
"Diff/Luma","34",3784392,"1080p",1.17747252952399
"Diff/Luma","22",1240056,"720p",1.1802379975692
"Diff/Luma","11",1159008,"720p",1.18144843150806
"Diff/Luma","52",3774419,"1080p",1.18361084787178
"Diff/Luma","102",1264649,"720p",1.18433675590834
"Diff/Luma","27",2896472,"1080p",1.1929982087349
"Diff/Luma","20",3116818,"1080p",1.19321850917458
"Diff/Luma","79",1233045,"720p",1.19792774806546
"Diff/Luma","76",1265158,"720p",1.20133811403026
"Diff/Luma","101",3120706,"1080p",1.20199640330027
"Diff/Luma","17",1204680,"720p",1.20267874257236
"Diff/Luma","100",2799734,"1080p",1.20304726448327
"Diff/Luma","92",2764546,"1080p",1.20315090164095
"Diff/Luma","38",4051425,"1080p",1.20393485823676
"Diff/Luma","96",3189597,"1080p",1.20641538536603
"Diff/Luma","60",1577578,"720p",1.2093168368442
"Diff/Luma","58",1362043,"720p",1.21286000635796
"Diff/Luma","24",2583643,"1080p",1.21634372295921
"Diff/Luma","32",2662469,"1080p",1.23254236754587
"Diff/Luma","87",2437137,"1080p",1.23306378128085
"Diff/Luma","112",1478602,"720p",1.23468503299225
"Diff/Luma","30",2767532,"1080p",1.23508796357659
"Diff/Luma","5",2889944,"1080p",1.2361683343143
"Diff/Luma","95",2749126,"1080p",1.23675119586875
"Diff/Luma","59",2569062,"1080p",1.24601602175941
"Diff/Luma","110",1281798,"720p",1.24602221029793
"Diff/Luma","73",2967487,"1080p",1.24791868959343
"Diff/Luma","67",1435846,"720p",1.25029040151166
"Diff/Luma","61",2971781,"1080p",1.26277678393113
"Diff/Luma","35",2954982,"1080p",1.27061515777868
"Diff/Luma","57",3067071,"1080p",1.27164841124332
"Diff/Luma","89",1187232,"720p",1.27190800341966
"Diff/Luma","16",2550823,"1080p",1.27369455973348
"Diff/Luma","58",2959984,"1080p",1.27400786101532
"Diff/Luma","6",1033836,"720p",1.27692875855178
"Diff/Luma","104",2835060,"1080p",1.28839600137608
"Diff/Luma","25",1219084,"720p",1.2978298246081
"Diff/Luma","112",3195749,"1080p",1.30343769947202
"Diff/Luma","4",2404813,"1080p",1.30430677077345
"Diff/Luma","60",3365705,"1080p",1.31722970844248
